"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
155.970000,0.00000,WPNY906,"Grain Valley","Police: Mobiles (to County 155.79 R)","Jack SD DspM","156.7 PL",,FMN,M,"Law Tac"
156.000000,0.00000,KB31788,Government,"Courthouse Maintenance [Expired 4/03]","Jack Shrf Cths","606 DPL",,FMN,M,"Public Works"
156.195000,0.00000,WZN205,"Lees Summit","Public Works","LS PubWrks ","186.2 PL",,FMN,BM,"Public Works"
156.210000,0.00000,WNBX955,Government,"Detention Center [Ch 1] [Expired 8/24]","Jack Det Cntr 1","110.9 PL",,FMN,BM,Corrections
156.225000,0.00000,KNJN472,Government,"Public Works/Roads [Expired 4/13]","Jackson Roads","186.2 PL",,FMN,BM,"Public Works"
158.760000,0.00000,WQPK453,"Unity Village","Local Government","UnityVill LG",,,FMN,BM,Multi-Dispatch
158.850000,155.79000,WPQI860,Buckner,"Police (repeats Jackson County Sheriff Dispatch)","Buck Police","156.7 PL",,FMN,RM,"Law Dispatch"
158.880000,159.04500,WZN205,"Lees Summit","Public Works","LS PubWrks R","186.2 PL",,FMN,RM,"Public Works"
159.090000,155.91000,KAJ606,"Lees Summit","Fire: Operations [Red 1]","LS Fire Red 1","186.2 PL",,FMN,RM,Fire-Tac
159.120000,155.79000,WSB834,"Oak Grove","Police: Dispatch [Simulcast of MARRS TG 34361]","OakG Police","210.7 PL",,FMN,RM,"Law Dispatch"
159.390000,0.00000,WPMQ965,"Fort Osage Fire Protection District",Fireground,"FtOsage FG1",,,FMN,M,Fire-Tac
168.825000,0.00000,,Miscellaneous,"FBI: Ops (KC/Clinton County)","FBI 168.825","167 NAC",,P25,RM,"Law Tac"
169.650000,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 024 Independence",,,,"Project 25",,TRS
170.512500,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 024 Independence",,,,"Project 25",,TRS
171.387500,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 024 Independence",,,,"Project 25",,TRS
172.725000,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 024 Independence",,,,"Project 25",,TRS
172.837500,0.00000,,Miscellaneous,"Federal Government Ops","Fed 1738375 1-2","CC 1|TG 2|SL 2",,DMR,RM,Federal
406.187500,0.00000," ","NNSA National Security Campus","Site 001 National Security Campus",,,,"Project 25",,TRS
406.937500,415.93750,,"USPS - Kansas City Bulk Mail Center","Mail Sorting","USPS KC Sort 1","CC 1|TG 1|SL *",,DMR,RM,Federal
406.937500,415.93750,,"USPS - Kansas City Bulk Mail Center",Maintenance,"USPS KC Maint 2","CC 1|TG 2|SL *",,DMR,RM,Federal
406.987500,0.00000," ","NNSA National Security Campus","Site 001 National Security Campus",,,,"Project 25",,TRS
407.300000,0.00000," ","NNSA National Security Campus","Site 001 National Security Campus",,,,"Project 25",,TRS
407.587500,0.00000," ","NNSA National Security Campus","Site 001 National Security Campus",,,,"Project 25",,TRS
407.987500,0.00000," ","NNSA National Security Campus","Site 001 National Security Campus",,,,"Project 25",,TRS
409.775000,0.00000," ","NNSA National Security Campus","Site 001 National Security Campus",,,,"Project 25",,TRS
444.925000,0.00000," ","Missouri BrandMeister DMR","Site 118 Independence",,,,DMR,,TRS
450.050000,0.00000,KXF978,"Businesses Television","WDAF TV4 NEWS","WDAF4 NEWS","162.2 PL",,FM,BM,Media
450.187500,0.00000,KEH381,"Businesses Television","KMBC-9 [Hearst]","KMBC-9 CH 1","136.5 PL",,FM,RM,Media
450.212500,0.00000,KPE669,"Businesses Television","KMBC-9 NewsChopper 9 [Hearst]","KMBC CH 2","136.5 PL",,FM,RM,Media
450.287500,0.00000,WZZ741,"Businesses Television","WDAF TV4 ENG","WDAF4 ENG","162.2 PL",,FM,BM,Media
450.350000,0.00000,KPF947,"Businesses Radio","MIX 93 (Remotes-can drag for long time} [Wilks]","Wilks Mix 93",CSQ,,FM,BM,Media
450.487500,0.00000,WPYS232,"Businesses Television","KMBC TV IFB","KMBC IFB","136.5 PL",,FM,BM,Media
450.612500,0.00000,KPH764,"Businesses Television","KSHB TV 41","KSHB TV 41","152 DPL",,FM,BM,Media
450.675000,0.00000,KPH373,"Businesses Radio","Metro Traffic Spotters Coordination",MetroTraffic,"192.8 PL",,FM,BM,Media
450.750000,0.00000,KY5506,"Businesses Radio","KUDL / KMBZ [Entercom KC]","KUDL / KMBZ",CSQ,,FM,BM,Media
450.950000,0.00000,KXF979,"Businesses Television","WDAF IFB","WDAF4 IFB","162.2 PL",,FM,B,Media
451.112500,0.00000,WQHP371,"Grain Valley","Water Distribution Data (CSQ)","GVal WDD2",,,Telm,F,Data
451.287500,0.00000,WQIF916,"Attractions and Recreation Kansas City Live",Operations,"KC Live Ops2",,,DMR,M,Business
451.300000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
451.325000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
451.375000,456.37500,WPNV689,"Businesses Union Station","Maintenance <b>[Expired 7/23]","UnSta Maintnce","431 DPL",,FMN,RM,Business
451.500000,456.50000,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals",Parking/Operations,"KS Prkng/Ops","205 DPL",,FMN,RM,Business
451.550000,456.55000,WPJH869,"Hospitals Children's Mercy Hospital (Kansas City)","Nursing A","CMH NursingA","186.2 PL",,FMN,RM,Business
451.550000,456.55000,WPJH869,"Hospitals Children's Mercy Hospital (Kansas City)","Nursing B","CMH NursingB","162.2 PL",,FMN,RM,Business
451.625000,456.62500,WNZU736,"Businesses Newspapers","Kansas City Star: Maintenance [Expired 6/22]","KCStar Maintnce","156.7 PL",,FMN,RM,Business
451.712500,0.00000,WQBF874,"Grain Valley","Water Distribution Data","GVal WDD1",,,Telm,M,Data
451.825000,0.00000," ","Nelson-Atkins Museum of Art","Site 001 Primary",,,,DMR,,TRS
451.875000,0.00000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops C",,,FMN,M,Business
451.912500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
451.925000,456.92500,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals",Security/Operations,"KS Sec/Ops","223 DPL",,FMN,RM,Security
451.937500,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
451.950000,456.95000,WPMS803,"Businesses Midtown/Plaza Businesses","American Century Investments: Security","ACI - CH 1","127.3 PL",,FMN,RM,Security
452.000000,0.00000," ","Nelson-Atkins Museum of Art","Site 001 Primary",,,,DMR,,TRS
452.075000,457.07500,WQAB912,"Businesses Midtown/Plaza Businesses","American Century Investments","ACI - Ch 2","127.3 PL",,FMN,RM,Security
452.137500,0.00000,WQIF916,"Attractions and Recreation Kansas City Live",Operations,"KC Live Ops3",,,DMR,M,Business
452.150000,457.15000,WQCS403,"Businesses Transportation","Checker Services: Cabs","Checker Cab 2 ",,,FMN,RM,Transportation
452.175000,457.17500,WPRH740,"Raytown Consolidated School District",Buses,RaytownSchBus100,"CC 2|TG 100|SL 1",,DMR,RM,Schools
452.200000,0.00000," ","Nelson-Atkins Museum of Art","Site 001 Primary",,,,DMR,,TRS
452.212500,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
452.262500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
452.300000,457.30000,WQCS403,"Businesses Transportation","Checker Services: Cabs","Checker Cab 1 ",,,FMN,RM,Transportation
452.312500,0.00000,WPZT299,"Independence Public Schools","William Chrisman High School","ChsmnHS Ops",,,FMN,M,Schools
452.350000,457.35000,WQDV255,"Hospitals St. Lukes Hospital East (Lees Summit)",Operations,"SLHE Ops",,,FMN,RM,Business
452.375000,457.37500,WPNV689,"Businesses Union Station","Operations <b>[Expired 7/23]","UnSta Ops",,,FMN,RM,Business
452.475000,0.00000," ","Bayer CropScience Kansas City","Site 001 Primary",,,,DMR,,TRS
452.487500,0.00000,WQIF916,"Attractions and Recreation Kansas City Live",Operations,"KC Live Ops4",,,DMR,M,Business
452.500000,0.00000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops D",,,FMN,M,Business
452.500000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
452.625000,457.62500,WQAB912,"Businesses Midtown/Plaza Businesses","American Century Investments","ACI - CH 3","127.3 PL",,FMN,RM,Security
452.625000,457.62500,WQNN884,"Kansas City University of Medicine and Biosciences",Security,"KCUMB Ops 1","CC 13|TG 1|SL 1",,DMR,RM,Schools
452.625000,457.62500,WQNN884,"Kansas City University of Medicine and Biosciences","Maintenance / Engineering","KCUMB Ops 2","CC 13|TG 2|SL 2",,DMR,RM,Schools
452.662500,0.00000,WQIF916,"Attractions and Recreation Kansas City Live",Operations,"KC Live Ops5",,,FMN,M,Business
452.675000,0.00000,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals","Tac [Ch 6]","KS Tac F-6","245 DPL",,FMN,M,Business
452.725000,457.72500,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Practice Ops","AS Practice","445 DPL",,FMN,RM,Business
452.725000,0.00000,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 452.725",,,FMN,M,Business
452.725000,0.00000," ","Kansas City Chiefs Football Club","Site 001 GEHA Stadium (Arrowhead)",,,,DMR,,TRS
452.775000,0.00000," ","Bayer CropScience Kansas City","Site 001 Primary",,,,DMR,,TRS
452.850000,457.85000,WQAB912,"Businesses Midtown/Plaza Businesses","American Century Investments","ACI - CH 4","127.3 PL",,FMN,RM,Security
452.850000,0.00000," ","Bayer CropScience Kansas City","Site 001 Primary",,,,DMR,,TRS
452.862500,457.86250,WQIN878,"Kansas City University of Medicine and Biosciences","Security / Operations [Expired 3/18]","KCUMB Old","073 DPL",,FMN,RM,Schools
452.975000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
453.012500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
453.037500,0.00000,KVI536,"Lake Lotawana","Fire: Remote Link","LkLot Fire RF1",,,FMN,F,"Fire Dispatch"
453.050000,458.05000,KNAB909,"Kansas City Public Safety","Outdoor Warning Sirens (MSK)","KC OW Sirens","050 DPL",,FMN,RM,"Emergency Ops"
453.112500,458.11250,,"Lees Summit","Solid Waste","LS SWaste","131.8 PL",,FMN,RM,"Public Works"
453.150000,458.15000,WPRV735,"Lees Summit","Police: Administration [Expired 6/21]","LS PD Adm","203.5 PL",,FMN,RM,"Law Dispatch"
453.300000,458.30000,WQHM903,"Kansas City - Parks and Recreation","Kansas City Zoo [Expired 9/17]",KCZooPrimary,"82.5 PL",,FMN,RM,"Public Works"
453.325000,0.00000," ","Kansas City Area Transportation Authority","Site 001 WDAF Tower",,,,DMR,,TRS
453.350000,458.35000,WPRV735,"Lees Summit","Police: Patch to MOLEEN 155.475 [Expired 6/21]","LS PD MA*P","306 DPL",,FMN,RM,"Law Dispatch"
453.425000,458.42500,WPRV735,"Lees Summit","Police: Patrol A [Expired 6/21]","LS Police A","103.5 PL",,FMN,RM,"Law Dispatch"
453.500000,458.50000,WPRV735,"Lees Summit","Police: Animal Control [Expired 6/21]","LS Animal Cntrl","114 DPL",,FMN,RM,"Law Tac"
453.525000,458.52500,WZN205,"Lees Summit","Fire: Operations [Yellow 3-Ch 2] (was D723)","LS Fire Yellow 3","186.2 PL",,FMN,RM,Fire-Tac
453.550000,458.55000,WQGX897,"Kansas City - Parks and Recreation","Kansas City Zoo: Operations, Safety, Security [Expired 5/17]","KCZoo Ops",,,FMN,RM,"Public Works"
453.575000,458.57500,WQLH720,"Lees Summit","Fire: EMS-to-Hospital [Yellow 5] [Expired 1/20]","LS Fire Yellow 5","107.2 PL",,FMN,RM,Hospital
453.662500,0.00000,WQEU237,"Kansas City Public Safety","Police: Bomb Robot - Data","KC PD Bomb1",,,Telm,M,Data
453.675000,458.67500,WQHM903,"Kansas City - Parks and Recreation","Kansas City Zoo [Expired 9/17]","KCZoo Tac","131.8 PL",,FMN,RM,"Public Works"
453.725000,458.72500,WPRV735,"Lees Summit","Police: Traffic B [Expired 6/21]","LS Police B","172 DPL",,FMN,RM,"Law Dispatch"
453.800000,458.80000,WQHM903,"Kansas City - Parks and Recreation","Kansas City Zoo  [Expired 9/17]","KCZoo MERS*P","77.0 PL",,FMN,RM,"Public Works"
453.850000,458.85000,WQHM903,"Kansas City - Parks and Recreation","Kansas City Zoo [Ch 5] [Expired 9/17]","KCZoo Ch. 5","141.3 PL",,FMN,RM,"Public Works"
453.875000,0.00000," ","Kansas City Area Transportation Authority","Site 001 WDAF Tower",,,,DMR,,TRS
453.900000,458.90000,KCZ477,"Lees Summit","Fire: Dispatch [Yellow 1/ Yel 2  T/A] (was D723)","LS Fire Yellow 1","167.9 PL",,FMN,RM,"Fire Dispatch"
453.925000,0.00000," ","Kansas City Area Transportation Authority","Site 001 WDAF Tower",,,,DMR,,TRS
453.950000,0.00000," ","Kansas City Area Transportation Authority","Site 001 WDAF Tower",,,,DMR,,TRS
454.062500,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.087500,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.087500,0.00000," ","KC Wireless (Tier 3)","Site 007 Kansas City MO",,,,DMR,,TRS
454.237500,0.00000," ","KC Wireless (Tier 3)","Site 007 Kansas City MO",,,,DMR,,TRS
454.375000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.400000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.425000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.450000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.475000,0.00000," ","KC Wireless (LTR)","Site 001 Kansas City LTR",,,,LTR,,TRS
454.475000,0.00000," ","KC Wireless (Tier 3)","Site 007 Kansas City MO",,,,DMR,,TRS
454.500000,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
454.550000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
454.575000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
454.600000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
455.150000,0.00000,KY5506,"Businesses Radio","KFKF SkyCruiser / Metro Traffic (Marti) [Entercom]","KFKF SC/MTr",CSQ,,FM,BM,Media
458.037500,0.00000,KVI536,"Lake Lotawana","Fire: Remote Link","LkLot Fire RF2",,,FMN,F,"Fire Dispatch"
458.662500,0.00000,WQEU237,"Kansas City Public Safety","Police: Bomb Robot - Voice","KC PD Bomb2",,,FMN,M,"Law Tac"
458.887500,0.00000,KNDW216,"Fort Osage Fire Protection District","Remote Receive Link","FtOsageFD RF",,,FMN,M,"Fire Dispatch"
460.025000,465.02500,KQL882,Raytown,"Police: Dispatch (Used for Raytown Crime Watch Patrol)","Raytown Police","107.2 PL",,FMN,RM,"Law Dispatch"
460.162500,465.16250,WZM850,"Department of Corrections","Probation & Parole Office (1330 Brush Creek Blvd)","MO DOC Parole KC","141.3 PL",,FMN,RM,Corrections
460.350000,465.35000,WZN205,"Lees Summit","Fire: Administration [Yellow 7]","LS Fire Yellow 7","107.2 PL",,FMN,RM,Fire-Tac
460.387500,465.38750,KCZ477,"Lees Summit","Public Works / Snow Removal","LS PW/Snow","032 DPL",,FMN,RM,"Public Works"
460.462500,465.46250,WQPK766,"Lees Summit","Codes Administration (200 numbers) [Expired 6/22]","LS Codes","115 DPL",,FMN,RM,"Public Works"
460.575000,465.57500,WPXJ409,"Prairie Township (Lees Summit)","Fire: Dispatch [Expired 4/13]","Prairie Twp Fire","79.7 PL",,FMN,RM,"Fire Dispatch"
461.025000,466.02500,WPNV689,"Businesses Union Station","Security <b>[Expired 7/23]","UnSta Security ","331 DPL",,FMN,RM,Security
461.037500,0.00000,,"Businesses Miscellaneous","Target (all KC Metro stores; Ch1 )","Target KC Ch 1",,,FMN,M,Business
461.100000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
461.100000,0.00000," ","Ballys Kansas City","Site 001 Casino",,,,DMR,,TRS
461.125000,466.12500,WPTR714,"Rockhurst College (Kansas City)",Maintenance,"RC Maintnanc","103.5 PL",,FMN,RM,Schools
461.175000,465.17500,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","MAST Ambulance/EMS","AS MAST EMS","192.8 PL",,FMN,RM,"EMS Dispatch"
461.175000,466.17500,WPWE421,"Hospitals St. Mary's Medical Center (Blue Springs MO)","Security / Maintenance / Emergency Response Team","SMMC Ops 1","103.5 PL",,FMN,RM,Business
461.187500,466.18760,WPZT299,"Independence Public Schools","Van Horn High School: Bus / Base / Security","VH School",,,FMN,RM,Schools
461.200000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
461.200000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
461.250000,0.00000," ","GEHA Insurance","Site 001 Independence",,,,DMR,,TRS
461.275000,466.27500,WSFM280,"Hospitals St. Lukes Hospital (Kansas City)",Maintenance,"SLH Maint 1","100.0 PL",,FMN,RM,Business
461.275000,0.00000," ","KC Wireless (LTR)","Site 001 Kansas City LTR",,,,LTR,,TRS
461.350000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
461.375000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
461.387500,466.38750,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 4613875",,,DMR,RM,Business
461.387500,0.00000," ","Kansas City Chiefs Football Club","Site 001 GEHA Stadium (Arrowhead)",,,,DMR,,TRS
461.400000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
461.400000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
461.425000,467.42500,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 461.425",,,FMN,RM,Business
461.450000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
461.475000,466.47500,WQAF224,"Attractions and Recreation Kemper Arena","Operations [Expired 5/14]","KA AmRoyal 1","051 DPL",,FMN,RM,Business
461.487500,466.48750,WQGT220,"Attractions and Recreation Country Club Plaza (Kansas City)",Security,"CCP Security 1","CC 4|TG 101|SL 1",,DMR,RM,Security
461.487500,466.48750,WQGT220,"Attractions and Recreation Country Club Plaza (Kansas City)",Custodians,"CCP Custodian103","CC 4|TG 103|SL *",,DMR,RM,Business
461.525000,0.00000,KNDW793,"Attractions and Recreation Kaufman Stadium / Kansas City Royals","Volume Service America: Center Plate","KS VSA CntrPlat","141.3 PL",,FMN,BM,Business
461.550000,466.55000,WQAW544,"Hospitals Research / Centerpoint Medical Center (Independence)","Security [Expired 8/14]","CMS Security 1","118.8 PL",,FMN,RM,Security
461.587500,466.58750,WQGT220,"Businesses Miscellaneous","Plaza: Security","Plaza Security",,,FMN,RM,Security
461.625000,466.62500,WQFL724,"Businesses Miscellaneous","H and R Block: Warehouse Operations","HR Blk Warehouse",,,FMN,RM,Business
461.650000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
461.650000,0.00000," ","KC Wireless (LTR)","Site 001 Kansas City LTR",,,,LTR,,TRS
461.675000,0.00000," ","KC Wireless (LTR)","Site 001 Kansas City LTR",,,,LTR,,TRS
461.700000,466.70000,KEH982,"Hospitals Research / Centerpoint Medical Center (Independence)","Security - Old? [Expired 9/22]","RMC Sec Old","156.7 PL",,FMN,RM,Security
461.700000,466.70000,WSAS201,"Hospitals Research Medical Center West (BMC)","Security [Ch 1]","BMC Security 1","156.7 PL",,FMN,RM,Security
461.712500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
461.750000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
461.762500,466.76250,WPWB214,"Hospitals St. Joseph Health Center (Kansas City)",Maintenance/Security/Admin,"SJHC Sec/Mt3",,,FMN,RM,Business
461.800000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
