"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
30.100000,0.00000,,"Nebraska Federal Army National Guard - Lincoln",Statewide,Helicopters,"ANG Helicopter",,,FM,M,Military
35.980000,0.00000,,"Douglas County Business Towing",Statewide,"Neff Towing Service","Neff Towing",,,FMN,BM,Business
38.500000,0.00000,,"NE Emergency Management Agency Operations",Statewide,"NEMA 1","NEMA 1",,,FM,BM,"Emergency Ops"
38.500000,0.00000,,"Nebraska Federal Air National Guard - Lincoln",Statewide,Aircraft,"ANG Aircraft",,,FM,M,Military
38.600000,0.00000,,"Nebraska Federal Air National Guard - Lincoln",Statewide,Aircraft,"ANG Aircraft",,,FM,M,Military
38.600000,0.00000,,"NE Emergency Management Agency Operations",Statewide,"NEMA 2","NEMA 2",,,FM,BM,"Emergency Ops"
38.700000,0.00000,,"Nebraska Federal Air National Guard - Lincoln",Statewide,Aircraft,"ANG Aircraft",,,FM,M,Military
38.700000,0.00000,,"NE Emergency Management Agency Operations",Statewide,"NEMA 3","NEMA 3",,,FM,BM,"Emergency Ops"
38.800000,0.00000,,"Nebraska Federal Air National Guard - Lincoln",Statewide,Aircraft,"ANG Aircraft",,,FM,M,Military
38.800000,0.00000,,"NE Emergency Management Agency Operations",Statewide,"NEMA 4","NEMA 4",,,FM,BM,"Emergency Ops"
39.500000,0.00000,KRY913,"Adams County",Adams,"Emergency Management","Adams EMA",,,FM,BM,"Emergency Ops"
39.580000,0.00000,KAG341,"Merrick, County of",Merrick,"Sheriff Low Band","SO Low Band","351 DPL",,FM,BM,"Law Dispatch"
39.620000,0.00000,KJN908,"Seward County",Seward,Sheriff,"SewardSO VHFL",,,FM,BM,"Law Talk"
39.640000,0.00000,WNMY260,"Tecumseh, City of",Johnson,Police,"Tecumseh PD",,,FM,BM,"Law Dispatch"
39.680000,0.00000,WZC542,"Cass County",Cass,"Sheriff Car/Car","CassSo C2C",,,FM,M,"Law Talk"
39.720000,0.00000,WPTP969,"Grant County",Grant,Sheriff,"Grant Co SO",,,FM,M,"Law Dispatch"
39.760000,0.00000,KSQ696,Plattsmouth,Cass,"Police 4 Car/Car","PlattsPD Car/Car",,,FMN,M,"Law Talk"
39.760000,0.00000,WPTR225,"Brown, County of",Brown,Sheriff," Brown SO",,,FM,BM,"Law Talk"
39.780000,0.00000,KAG329,"Seward County",Seward,"Sheriff / Milford Police 1","SewardSO VHFL",,,FM,BM,"Law Dispatch"
39.780000,0.00000,KNBW731,"Antelope County",Antelope,"Sheriff Low Band","Antelope SO LB",,,FM,BM,"Law Dispatch"
39.780000,0.00000,KDB558,"Perkins County",Perkins,"County Lowband","PerkinsCo LB",CSQ,,FM,BM,"Public Works"
39.800000,0.00000,KAG584,"Otoe County Sheriff",Otoe,"Sheriff Low Band",OtoeSoVHF-L,,,FM,BM,"Law Talk"
39.800000,0.00000,KAG283,Sheriff,Saunders,"Low Band",SaundSoLB,,,FM,BM,"Law Tac"
39.820000,0.00000,,"NE Mutual Aid Statewide Mutual Aid",Statewide,"Statewide Medical Net",StatewideEMS,,,FM,BM,Interop
39.820000,0.00000,KXQ763,"Dunning Rural Fire District",Blaine,Fire,"Dunning Fire",,,FM,BM,"Fire Dispatch"
39.820000,0.00000,KYL822,"Rock County",Rock,Medical,"Rock Co EMS",,,FM,BM,EMS-Talk
39.820000,0.00000,KNES285,Fire/EMS,Harlan,Rescue/EMS,"Harlan Co EMS",,,FM,BM,"EMS Dispatch"
39.820000,0.00000,KNHW819,"Webster County",Webster,Rescue,StatewideEMS,,,FM,BM,EMS-Tac
39.820000,0.00000,WPTU722,"Brown, County of",Brown,"Medical Mutual Aid"," Brown Medic",,,FM,BM,EMS-Talk
39.820000,0.00000,KNFP458,"Spencer, Village of",Boyd,"Medical Mutual Aid",StatewideEMS,,,FM,BM,Interop
39.840000,0.00000,KUZ883,"Platte County",Platte,Sheriff,PlatteSOVHFL,,,FM,BM,"Law Dispatch"
39.840000,0.00000,KNHW819,"Webster County",Webster,Fire,"Webster Co FD",,,FM,BM,Fire-Tac
39.860000,0.00000,KSR939,"Nebraska City",Otoe,"Police Low Band",NeCityPDVHFL,,,FM,BM,"Law Talk"
39.860000,0.00000,KAG291,Fire/EMS,Hitchcock,Fire,HitchcockCoF,,,FM,BM,"Fire Dispatch"
39.900000,0.00000,KAI875,Fire,"Scotts Bluff","Fire Paging",SctsBfCoFDPa,,,FM,BM,"Fire Dispatch"
39.900000,0.00000,KWF782,"Thayer, County of",Thayer,"Statewide Law Enforcement Net","Statewide LE",,,FM,BM,"Law Talk"
39.900000,0.00000,,"NE Mutual Aid Statewide Mutual Aid",Statewide,"Statewide Law Enforcement Net","Statewide LE",,,FM,BM,Interop
39.900000,0.00000,KAG584,"Otoe County Sheriff",Otoe,Sheriff,"Statwide LE",,,FM,BM,"Law Talk"
39.900000,0.00000,WPVB556,"Knox County",Knox,Sheriff,"KnoxCo SO",,,FM,BM,"Law Dispatch"
39.900000,0.00000,KNBY451,Sheriff,Saunders,"Mutual Aid/County Fire Paging","Statewide LE",,,FM,RM,Interop
39.900000,0.00000,KAH456,"Johnson, County of",Johnson,Sheriff,"Statewide LE",,,FM,BM,"Law Talk"
39.900000,0.00000,KNIA330,Murray,Cass,Fire,"Murray Fire",CSQ,,FM,BM,Fire-Tac
39.900000,0.00000,KAH703,"Rock County",Rock,Sheriff,"RockCo SO LB",,,FM,BM,"Law Talk"
39.900000,0.00000,KAG291,Sheriff,Hitchcock,Sheriff,"Hitchcock Co SO",,,FM,BM,"Law Dispatch"
39.900000,0.00000,KNHW819,"Webster County",Webster,"Sheriff Mutual Aid","Statewide LE",,,FM,BM,"Law Talk"
39.900000,0.00000,WPTU722,"Brown, County of",Brown,"Law Mutual Aid"," Brown Law",,,FM,BM,"Law Talk"
39.900000,0.00000,WPUJ905,"Longpine City of",Brown,Law," Longpine PD",,,FM,BM,"Law Talk"
39.900000,0.00000,KNFP458,"Spencer, Village of",Boyd,"Law Mutual Aid","Statewide LE",,,FM,BM,Interop
39.900000,0.00000,WXF807,"Gosper, County of",Gosper,"Statewide Law Lowband",StatewideLaw,,,FM,BM,"Law Talk"
39.900000,0.00000,KAG588,"Pawnee, County of",Pawnee,"Law Mutual Aid","Statewide LE",,,FM,BM,Interop
39.900000,0.00000,WQI498,Ponca,Dixon,"EMS Paging","EMS Paging",,,FM,BM,"EMS Dispatch"
39.900000,0.00000,WSL413,Fire,Chase,Fireground,WaunetaFdFg,,,FM,BM,Fire-Tac
39.940000,0.00000,WQI498,"Dixon County",Dixon,"Sheriff Low Band","Dixon SO Low",,,FM,BM,"Law Dispatch"
39.960000,0.00000,KAG741,Fire,Frontier,"Fire Dispatch",FrontierFire,"100.0 PL",,FM,BM,"Fire Dispatch"
39.980000,0.00000,,"NE Mutual Aid Statewide Mutual Aid",Statewide,"Statewide Fire Net","Statewide FD",,,FM,BM,Interop
39.980000,0.00000,KAG283,Fire,Saunders,"County Fire Low Band",StatewdieFir,,,FM,BM,"Fire Dispatch"
39.980000,0.00000,WNHW561,"Brewster Fire District",Blaine,Fire,BrewsterFire,,,FM,BM,Fire-Talk
39.980000,0.00000,KXQ763,"Dunning Rural Fire District",Blaine,Fire,"Dunning Fire",,,FM,BM,Fire-Talk
39.980000,0.00000,KAH456,"Johnson, County of",Johnson,Fire,"Statewide FD",,,FM,BM,Fire-Talk
39.980000,0.00000,KYB900,"Rock County",Rock,Fire,"RockCo Fire ",,,FM,BM,Fire-Talk
39.980000,0.00000,KNIE604,Fire,Hitchcock,Fire,"Culbertson FD",,,FM,BM,Fire-Talk
39.980000,0.00000,KXF530,Fire,Hitchcock,Fire,"Palisade FD",,,FM,BM,"Fire Dispatch"
39.980000,0.00000,WPTU722,"Brown, County of",Brown,"Fire Mutual Aid"," Brown Fire",,,FM,BM,Fire-Talk
39.980000,0.00000,WNQW295,"Bristow Fire Department",Boyd,Fire,"Statewdie FD",,,FM,BM,Fire-Talk
39.980000,0.00000,KNFP458,"Spencer, Village of",Boyd,"Fire Mutual Aid","Statewdie FD",,,FM,BM,Interop
39.980000,0.00000,KNIG207,Fire,Chase,Dispatch,WaunetaFdDis,,,FM,BM,"Fire Dispatch"
43.120000,0.00000,"WQEL974 ","Cass County Business Information Technology",Statewide,"George Blessing - Radio Maint","George Blessing",,,FM,BM,Business
47.040000,0.00000,WNWY532,"NE Department of Transportation Statewide",Statewide,"District 3, 6 - Mobiles","NDOR 3/6 Mob","162.2 PL",,FM,M,"Public Works"
47.080000,0.00000,KD5863,"NE Department of Transportation Statewide",Statewide,"District 2, 4, 5 - Mobiles","NDOR 2/4/5 M","162.2 PL",,FM,M,"Public Works"
47.140000,47.04000,WNWY532,"NE Department of Transportation Statewide",Statewide,"District 3, 6 - Dispatch","NDOR 3/6 Dis","162.2 PL",,FM,BM,"Public Works"
47.160000,0.00000,KD5863,"NE Department of Transportation Statewide",Statewide,"District 1, 7, 8 - Mobiles","NDOR 1/7/8 M","162.2 PL",,FM,M,"Public Works"
47.200000,47.08000,KFK589,"NE Department of Transportation Statewide",Statewide,"District 2, 4, 5 - Dispatch","NDOR 2/4/5 D","162.2 PL",,FM,BM,"Public Works"
47.220000,0.00000,WNWY532,"NE Department of Transportation Statewide",Statewide,"Mobile to Mobile","NDOR Car/Car","162.2 PL",,FM,M,"Public Works"
47.240000,47.16000,KYF434,"NE Department of Transportation Statewide",Statewide,"District 1, 7, 8 - Dispatch","NDOR 1/7/8 D","162.2 PL",,FM,BM,"Public Works"
47.260000,0.00000,WNWY532,"NE Department of Transportation Statewide",Statewide,"Mobile to Mobile","NDOR Car-Car","162.2 PL",,FM,M,"Public Works"
47.420000,0.00000,KWQ530,"American National Red Cross",Lancaster,"Red Cross 1","Red Cross 1",,,FM,BM,"Emergency Ops"
47.500000,0.00000,WPAM212,Schools,Sherman,"Litchfield Schools","Ltchfld Schl",,,FM,BM,Schools
47.520000,0.00000,KRV529,"Kimball County Business Construction",Statewide,"Z&S Construction","Z/S Construc","82.5 PL",,FM,BM,Business
47.540000,0.00000,KVZ692,"Wauneta-Palisade Public School District",Chase,Transportation,WanetaPalsde,,,FM,BM,Schools
47.660000,0.00000,KNIF455,Schools,Hayes,"Hayes Center School","HayesCntr School",,,FM,BM,Schools
47.960000,0.00000,KAA616,"Business Businesses",Statewide,"Nebraska Public Power District",NPPD,,,FM,BM,Business
48.100000,0.00000,WPDP977,"Public Works",Chase,"Public Utilities","Imperial Utilite",,,FM,BM,"Public Works"
48.100000,0.00000,WNSU654,"Public Works",Chase,"Public Utilities","Wauneta Utlit",,,FM,BM,"Public Works"
48.180000,0.00000,KAA616,"Business Businesses",Statewide,"Nebraska Public Power District","Nebraska Pwr",,,FM,BM,Utilities
49.580000,0.00000,KRU423,"Kimball County Business Industry",Statewide,"Marv's LP Gas","Marvs LP Gas","125 DPL",,FM,BM,Business
53.350000,51.65000,W0CUO,Repeaters,Hall,"Grand Island",W0CUO,CSQ,CSQ,FM,RM,Ham
118.050000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,"Automatic Terminal Information Service (ATIS)",ATIS,CSQ,,AM,B,Aircraft
118.075000,0.00000,,"Kimball Municipal Airport (KIBM) Air Traffic Control",Statewide,"WX AWOS-3","KIBM WX AWOS",CSQ,,AM,BM,Aircraft
118.200000,0.00000,,"Central Nebraska Regional Airport (GRI) Aviation - Air Traffic Control",Statewide,Tower,Tower,CSQ,,AM,BM,Aircraft
118.250000,0.00000,,"Millard Airport (MLE) Aviation - Air Traffic Control",Statewide,"Automated Weather Observing System (AWOS)",AWOS,CSQ,,AM,,Aircraft
118.425000,0.00000,,"North Platte Regional Airport (LFB) Aircraft Operations",Statewide,"WX ASOS","LFB WX ASOS",CSQ,,AM,BM,Aircraft
118.500000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,Tower,Tower,CSQ,,AM,BM,Aircraft
119.025000,0.00000,,"Norfolk Regional Airport (OFK) Air Traffic Control",Statewide,"Automated Weather Observing System","OFK AWOS",CSQ,,AM,,Aircraft
119.025000,0.00000,,"Airports Operations",Statewide,"Automated Surface Observing System",ASOS,CSQ,,AM,B,Aircraft
119.400000,0.00000,,"Central Nebraska Regional Airport (GRI) Aviation - Air Traffic Control",Statewide,"Approach (Minneapolis ARTCC)",Approach,CSQ,,AM,BM,Aircraft
119.900000,0.00000,,"Eppley Airfield (OMA) Air Traffic Control",Statewide,Clearance,"OMA Clearance",CSQ,,AM,BM,Aircraft
120.100000,0.00000,,"Eppley Airfield (OMA) Air Traffic Control",Statewide,"Omaha Approach/Departure West","OMA AP/Dep W",CSQ,,AM,BM,Aircraft
120.100000,0.00000,,"Millard Airport (MLE) Aviation - Air Traffic Control",Statewide,"Omaha Approach/Departure West",Approach/Dep,CSQ,,AM,,Aircraft
120.125000,0.00000,,"Airports Operations",Statewide,"Nebraska Forest Service Tanker Base","NFS Tanker Base",CSQ,,AM,BM,Aircraft
120.225000,0.00000,,"Blair Municipal Airport (BTA) Aviation",Statewide,AWOS,AWOS,CSQ,,AM,BM,Aircraft
120.400000,0.00000,,"Eppley Airfield (OMA) Air Traffic Control",Statewide,"Automatic Terminal Information Service","OMA ATIS",CSQ,,AM,BM,Aircraft
120.700000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,"Clearance Delivery",Clearance,CSQ,,AM,BM,Aircraft
120.875000,0.00000,,"Box Butte County Airports Operations",Statewide,"Nebraska Forest Service Tanker Base","NFS Tanker Base",,,AM,BM,Aircraft
121.025000,0.00000,,"Western Nebraska Regional Airport (BFF) Air Traffic Control",Statewide,"Automated Weather Observing System (AWOS)","Airport Wx",CSQ,,AM,BM,Aircraft
121.125000,0.00000,KOG8,"Airports Operations",Statewide,"Automated Weather Observing System",AWOS,CSQ,,AM,B,Aircraft
121.700000,0.00000,,"Nebraska Federal Offutt Air Force Base",Statewide,Ground,"OAFB Ground",CSQ,,AM,B,Military
121.900000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,Ground,Ground,CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Eppley Airfield (OMA) Air Traffic Control",Statewide,Ground,"OMA Ground",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Central Nebraska Regional Airport (GRI) Aviation - Air Traffic Control",Statewide,Ground,Ground,CSQ,,AM,BM,Aircraft
122.150000,0.00000,,"Norfolk Regional Airport (OFK) Air Traffic Control",Statewide,"Columbus Radio","OFK ATC",CSQ,,AM,,Aircraft
122.685000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,"Remote Communications Outlet",RCO,CSQ,,AM,BM,Aircraft
122.700000,0.00000,,"Norfolk Regional Airport (OFK) Air Traffic Control",Statewide,Unicom,"OFK Unicom",CSQ,,AM,,Aircraft
122.800000,0.00000,,"Crete Airport Aviation - Air Traffic Control",Statewide,"Unicomm Air Traffic Control","Unicomm ATC",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Imperial Municipal Airport (KIML) Aviation",Statewide,CTAF,ImperialCTAF,CSQ,,AM,,Aircraft
122.800000,0.00000,,"Kimball Municipal Airport (KIBM) Air Traffic Control",Statewide,UNICOM,"KIBM UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"North Omaha Airport (3NO) Aviation - Air Traffic Control",Statewide,CTAF/UNICOM,"3NO CTAF/UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,WQLV637,"Airports Operations",Statewide,UNICOM,UNICOM,CSQ,,AM,BM,Aircraft
122.800000,0.00000,KXW2,"Airports Operations",Statewide,UNICOM,UNICOM,CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,Unicom,Unicom,CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"Eppley Airfield (OMA) Air Traffic Control",Statewide,UNICOM,"OMA UNICOM",CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Millard Airport (MLE) Aviation - Air Traffic Control",Statewide,"Unicomm Air Traffic Control"," Unicomm ",CSQ,,AM,,Aircraft
123.000000,0.00000,KUZ7,"Western Nebraska Regional Airport (BFF) Air Traffic Control",Statewide,Unicom,WestNBUnicm,CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Lexington Airport Lexington Airport",Statewide,"Lexington Airport UNICOM","Lex Airport",CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"North Platte Regional Airport (LFB) Aircraft Operations",Statewide,CTAF/UNICOM,"LFB Unicom",CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Tekamah Municipal Airport (TQE) Air Traffic Control",Statewide,"Common Traffic Advisory Frequency","TQE  CTAF",CSQ,,AM,BM,Aircraft
123.000000,0.00000,WLI7,"Box Butte County Airports Operations",Statewide,CTAF/Unicom,"KAIA CTAF/Unicom",,,AM,BM,Aircraft
123.050000,0.00000,,"Blair Municipal Airport (BTA) Aviation",Statewide,CTAF,CTAF,CSQ,,AM,BM,Aircraft
123.700000,0.00000,,"Nebraska Federal Offutt Air Force Base",Statewide,Tower,"OAFB Tower",CSQ,,AM,B,Military
124.000000,0.00000,,"Crete Airport Aviation - Air Traffic Control",Statewide,"Lincoln Approach","Lincoln APP",CSQ,,AM,BM,Aircraft
124.000000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,"Approach/Departure - West","Apr/Dep West",CSQ,,AM,BM,Aircraft
124.175000,0.00000,,"Imperial Municipal Airport (KIML) Aviation",Statewide,AWOS,ImperialAWOS,CSQ,,AM,,Aircraft
124.500000,0.00000,,"Eppley Airfield (OMA) Air Traffic Control",Statewide,"Omaha Approach/Departure East","OMA AP/Dep E",CSQ,,AM,BM,Aircraft
124.800000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,"Approach/Departure - East","Apr/Dep East",CSQ,,AM,BM,Aircraft
124.950000,0.00000,,"Nebraska Federal Offutt Air Force Base",Statewide,"Ground Control Approach","OAFB GCA",CSQ,,AM,B,Military
125.400000,0.00000,,"Millard Airport (MLE) Aviation - Air Traffic Control",Statewide,Clearance,Clearance,CSQ,,AM,,Aircraft
125.700000,0.00000,,"Lincoln Municipal Airport (LNK) Aviation - Air Traffic Control (Civilian)",Statewide,"Tower Alternate","Tower Alt",CSQ,,AM,BM,Aircraft
