"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
3.862000,0.00000,,"SKYWARN/Amateur Radio HF Operations",Statewide,"Areawide Ops (CW/LSB Mode)","Areawide Ops",,,AM,BM,Ham
29.680000,29.58000,K0NXA,Miscellaneous,Christian,"Nixa 10Meter repeater","K0NXA 29.68","123.0 PL","123.0 PL",FM,RM,Ham
30.680000,31.72000,WQGE864,"Businesses, Attractions and Recreation Utilities / Service Companies",Statewide,"Mid-Continent Concrete","MidCon Concrete",,,FM,RM,Business
31.640000,0.00000,KFG780,"Businesses, Attractions and Recreation Miscellaneous",Statewide,"Havin Materials","Havin Materials","118.8 PL",,FM,BM,Business
35.060000,0.00000,WRZ735,Recreation,Shannon,"Windy's Canoe Rental (Eminence)","Windys Canoe",,,FM,BM,Business
37.100000,0.00000,KTV822,Sheriff/911,"Cape Girardeau","EMA: Operations","CGCo EMA 3","136.5 PL",,FM,BM,"Emergency Ops"
37.180000,0.00000,KNFJ432,Salem,Dent,"City Operations","Salem City 1",,,FM,BM,"Public Works"
37.920000,0.00000,WPPX930,"Cape Girardeau (City)","Cape Girardeau","Public Works [Expired 3/15]","CG PW 37.92","131.8 PL",,FM,BM,"Public Works"
38.450000,0.00000,,"Springfield-Branson Regional Airport (SGF) Air Traffic Control",Statewide,"Missouri National Guard: Operations","SGF MNG Ops",CSQ,,FM,BM,Military
41.650000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,"Missouri National Guard: Ops","MNG Ops A",,,FM,BM,Military
41.950000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,"Missouri National Guard: Ops","MNG Ops B",,,FM,BM,Military
42.000000,0.00000,KA5824,"Missouri Department of Public Safety Statewide Common",Statewide,"Statewide Car-to-Car / Air-to-Car Speed Checks. [Ch 19/29/39/59/69/89/99]","MHP S/W C2C","186.2 PL",,FM,M,"Law Talk"
42.000000,0.00000,KA5824,"Missouri Department of Public Safety Troop E - Poplar Bluff",Statewide,"Car-to-Car (Backup to MOSWIN)","Trp E C2C","186.2 PL",,FM,BM,"Law Tac"
42.020000,0.00000,KAA203,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Mobiles-to-Dispatch - South (Lawrencetown, Kirkwood, High Ridge) [Ch 36]","Trp C Mob S","186.2 PL",,FM,M,"Law Dispatch"
42.020000,0.00000,KA5824,"Missouri Department of Public Safety Statewide Common",Statewide,Car-to-Car,"MHP LB C2C","186.2 PL",,FM,M,"Law Talk"
42.060000,0.00000,KAA243,"Missouri Department of Public Safety Troop D - Springfield",Statewide,"Police: Dispatch (Simulcast MOSWIN Trp D Disp 1 East)","MHP Trp D East","203.5 PL",,FM,F,"Law Dispatch"
42.060000,0.00000,KXM905,"Common/Shared State Fair - Sedalia",Statewide,"State Police: Low Band (Multiple Freqs)","MSF LowBand",,,FM,BM,"Law Tac"
42.100000,0.00000,KAA243,"Missouri Department of Public Safety Troop D - Springfield",Statewide,"Police: Dispatch","MHP Trp D 42.1","203.5 PL",,FM,BM,"Law Dispatch"
42.100000,0.00000,KAA203,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Dispatch - Metro (Weldon Spring, High Ridge) [Ch 33]","Trp C Disp M","186.2 PL",,FM,B,"Law Dispatch"
42.100000,0.00000,KA5824,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Car-to-Car - Metro [Ch 34]","Trp C c2C M","186.2 PL",,FM,M,"Law Tac"
42.120000,0.00000,KAA203,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Dispatch to Mobiles - South (Lawrencetown, Kirkwood, High Ridge) [Ch 38]","Trp C Disp S","186.2 PL",,FM,B,"Law Dispatch"
42.120000,0.00000,KA5824,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Car-to-Car - South [Ch 37]","Trp C c2c S","186.2 PL",,FM,M,"Law Tac"
42.120000,0.00000,KAA243,"Missouri Department of Public Safety Troop D - Springfield",Statewide,"Police: Dispatch","MHP Trp D 42.12","203.5 PL",,FM,F,"Law Dispatch"
42.140000,0.00000,KAA203,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Rural Dispatch [Ch 30]","Trp C Disp R","186.2 PL",,FM,B,"Law Dispatch"
42.140000,0.00000,KA5824,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Rural Car-to-Car [Ch 31] (In use-12/14)","Trp C c2d R","186.2 PL",,FM,M,"Law Tac"
42.260000,0.00000,KAA203,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Rural Dispatch - Mobiles-to-Base (Kirkwood) [Ch 32]","Trp C Mob R","192.8 PL",,FM,M,"Law Dispatch"
42.380000,0.00000,KAA522,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Willow Spring","Trp C WSpring","173.8 PL",,FM,F,"Law Dispatch"
42.380000,0.00000,KAA522,"Missouri Department of Public Safety Troop G - Willow Springs",Statewide,"Dispatch/Ops (Backup to MOSWIN)","Trp G Disp/Ops","173.8 PL",,FM,BM,"Law Dispatch"
42.400000,0.00000,KAA204,"Missouri Department of Public Safety Troop H - St. Joseph",Statewide,"Simulcast of MOSWIN?","TrpH Simulcast","173.8 PL",,FMN,B,"Law Dispatch"
42.780000,0.00000,KAA203,"Missouri Department of Public Safety Troop C - Weldon Spring",Statewide,"Mobiles-to-Dispatch - Metro (Kirkwood, High Ridge) [Ch 35]","Trp C Mob M","186.2 PL",,FM,M,"Law Dispatch"
42.820000,0.00000,KAA201,"Missouri Department of Public Safety Troop B - Macon",Statewide,"Legacy Dispatch (Macon, Marion)","MHP Trp B 42.82",,,FM,BM,"Law Dispatch"
42.860000,0.00000,KAA202,"Missouri Department of Public Safety Troop A - Lee's Summit",Statewide,"Dayton Remote - Simulcast of MOSWIN MSHP Troop A Dispatch 2 (Rural)","TrpA-D2 Dytn","203.5 PL",,FM,B,"Law Dispatch"
42.920000,0.00000,KAA202,"Missouri Department of Public Safety Troop A - Lee's Summit",Statewide,"Warsaw Remote - Simulcast of MOSWIN MSHP Troop A Dispatch 2 (Rural)","TrpA-D2 Wars","203.5 PL",,FM,B,"Law Dispatch"
42.920000,0.00000,KAA270,"Missouri Department of Public Safety Troop E - Poplar Bluff",Statewide,"North Dispatch/Ops (Backup to MOSWIN)","Trp E North","173.8 PL",,FM,BM,"Law Dispatch"
42.940000,0.00000,KAA270,"Missouri Department of Public Safety Troop E - Poplar Bluff",Statewide,"South Dispatch/Ops (Backup to MOSWIN)","Trp E South","173.8 PL",,FM,BM,"Law Dispatch"
42.940000,0.00000,KAA202,"Missouri Department of Public Safety Troop A - Lee's Summit",Statewide,"Lees Summit remote - Simulcast of MOSWIN Troop A Dispatch 1 (Metro)","TrpA-D1 LSmt","203.5 PL",,FM,B,"Law Dispatch"
43.060000,0.00000,WQTI895,"Businesses Miscellaneous",Statewide,"Higgins Concrete (Sedalia)","Higgins Concrete","100.0 PL",,FM,BM,Business
44.860000,0.00000,KA5824,"Missouri Department of Public Safety Division of Drug and Crime Control",Statewide,"DDCC Low Band","MDDCC LowBnd","186.2 PL",,FMN,M,"Law Talk"
45.120000,0.00000,KJF874,"Missouri Department of Public Safety Statewide",Statewide,"Statewide Bases/Temporary Bases [100]","MEMA 45.12",CSQ,,FM,BM,"Emergency Ops"
45.160000,0.00000,KJF874,"Missouri Department of Public Safety Statewide",Statewide,"Statewide Bases/Temporary Bases","MEMA 45.16",CSQ,,FM,BM,"Emergency Ops"
45.200000,0.00000,KJF874,"Missouri Department of Public Safety Statewide",Statewide,"Statewide Bases/Temporary Bases","MEMA 45.2",CSQ,,FM,BM,"Emergency Ops"
45.240000,0.00000,KJF874,"Missouri Department of Public Safety Statewide",Statewide,"Statewide Bases/Temporary Bases","MEMA 45.24",CSQ,,FM,BM,"Emergency Ops"
45.740000,0.00000,KWT733,Eureka,Jefferson,"Police: Alternate","Eurk Police Alt1",,,FM,M,"Law Tac"
45.760000,0.00000,KNFE807,"Cape Girardeau County","Cape Girardeau","Highway Department","CGCo HD 3",,,FM,BM,"Public Works"
46.700000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,"Missouri National Guard: Mobiles","MNG MobilesA",,,FM,M,Military
46.700000,0.00000,,"Federal Missouri National Guard",Statewide,"Tac [Ch 1]","MNG Tac 1",CSQ,,FM,BM,Military
46.800000,0.00000,,"Federal Missouri National Guard",Statewide,"Common [Ch 2]","MNG Common2",CSQ,,FM,BM,Military
