Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1,001,"Trp C Admin","D","Admin","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
2,002,"Trp C CVE","D","Commercial Vehicle Enforcement","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
3,003,"Trp C Aviation","D","Aviation","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
4,004,"Trp C DDCC","D","Division of Drug and Crime Control (DDCC)","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
5,005,"Trp C Dispatch 1","De","Dispatch 1 - Metro*","Law Dispatch","Missouri Highway Patrol - Troop C (Weldon Spring)"
6,006,"Trp C Car 1","D","Car-to-Car 1","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
7,007,"Trp C Dispatch 2","De","Dispatch 2 - Rural*","Law Dispatch","Missouri Highway Patrol - Troop C (Weldon Spring)"
8,008,"Trp C Car 2","D","Car-to-Car 2 ","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
9,009,"Trp C Dispatch 3","D","Dispatch 3 ","Law Dispatch","Missouri Highway Patrol - Troop C (Weldon Spring)"
10,00a,"Trp C Car 3","D","Car-to-Car 3","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
11,00b,"Trp C Dispatch 4","D","Dispatch 4","Law Dispatch","Missouri Highway Patrol - Troop C (Weldon Spring)"
12,00c,"Trp C Car 4","D","Car-to-Car 4","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
13,00d,"Trp C Dispatch 5","D","Dispatch 5","Law Dispatch","Missouri Highway Patrol - Troop C (Weldon Spring)"
14,00e,"Trp C Car 5","D","Car-to-Car 5","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
15,00f,"Trp C Dispatch 6","D","Dispatch 6","Law Dispatch","Missouri Highway Patrol - Troop C (Weldon Spring)"
16,010,"Trp C Car 6","D","Car-to-Car 6","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
17,011,"Trp C Dispatch 7","D","Dispatch 7","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
18,012,"Trp C CarOne","D","Car-to-Car 7 (Speed Traps)","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
19,013,"Trp C Marine","D","Marine","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
20,014,"Trp C Tac 1","D","Tac-1","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
21,015,"Trp C Tac 2","D","Tac-2","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
22,016,"Trp C Tac 3","D","Tac-3","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
23,017,"Trp C SWAT","D","SWAT","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
25,019,"Trp C Travel","D","Travel","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
33,021,"Trp C Ops 33","D","Operations","Law Tac","Missouri Highway Patrol - Troop C (Weldon Spring)"
51,033,"Trp E Admin","D","Admin","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
52,034,"Trp E CVE","D","Commercial Vehicle Enforcement","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
53,035,"Trp E Aviation","D","Aviation","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
54,036,"Trp E DDCC","D","Division of Drug and Crime Control (DDCC)","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
55,037,"Trp E Dispatch 1","D","Dispatch 1 - North ? ","Law Dispatch","Missouri Highway Patrol - Troop E (Poplar Bluff)"
56,038,"Trp E Car 1","D","Car-to-Car 1 ","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
57,039,"Trp E Dispatch 2","D","Dispatch 2 - South ? ","Law Dispatch","Missouri Highway Patrol - Troop E (Poplar Bluff)"
58,03a,"Trp E Car 2","D","Car-to-Car 2 ","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
59,03b,"Trp E Dispatch 3","D","Dispatch 3","Law Dispatch","Missouri Highway Patrol - Troop E (Poplar Bluff)"
60,03c,"Trp E Car 3","D","Car-to-Car 3","Law Tac","Missouri Highway Patrol - Troop E (Poplar Bluff)"
61,03d,"Trp E Dispatch 4","D","Dispatch 4","Law Dispatch","Missouri Highway Patrol - Troop E (Poplar Bluff)"
