"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
151.805000,159.57000,WPZR859,"Businesses Key Cooperative",Statewide,"Grinnell Operations","Key Coop Grinnel","CC 15|TG 1|SL 1",,DMR,RM,Business
151.835000,0.00000,WPYU305,"Grain Cooperatives Claire, Roelyn, Knoke, Knierim, Badger, and Duncombe",Statewide,Operations,"New Coop Ops","167.9 PL",,FM,BM,Business
151.835000,0.00000,"WQRM700 ","Businesses Other",Statewide,"Burke Seed and Equipment",BurkeSeed,,,FMN,BM,Business
151.835000,0.00000,WNED586,"Sioux City",Woodbury,"Red Cross Disaster Operations","Red Cross",CSQ,,FM,BM,"Emergency Ops"
151.850000,159.51000,WQUZ974,"Schools Newton Community Schools",Statewide,Buses,NewtonSchoolBus,"146.2 PL",,FMN,RM,Schools
151.865000,0.00000,,"Businesses ADM",Statewide,"Wet Corn Mill",WetCornMill,"69.3 PL",,FMN,RM,Business
151.880000,0.00000,,"Hawkeye Downs Speedway Hawkeye Downs Speedway",Statewide,"Track Support","Trk Support","100.0 PL",,FM,M,Business
151.895000,0.00000,WNQN394,"Clay County",Clay,"County Fair","Clay Fair",,,FMN,BM,Business
151.910000,0.00000,WQSR643,"Businesses Misc. Businesses",Statewide,"Bollmeyer Equipment","Bollmeyer Eq","251 DPL",,FMN,RM,Business
151.925000,159.87000,WQTC719,"Business School Districts",Statewide,"Williamsburg Community School Maintenance","Wburg School","023 DPL",,FMN,RM,Schools
151.925000,0.00000,WPDW808,"Businesses Transco",Statewide,Transco,Transco,"073 DPL",,FM,BM,Business
151.955000,0.00000,,"Businesses Miscellaneous",Statewide,"WestWay Terminals",WestWay,"100.0 PL",,FM,BM,Business
151.955000,0.00000,KCB493,"Businesses Varina Area",Statewide,"Wolff Plumbing and Heating","Wolff P&H","146.2 PL",,FM,BM,Business
151.955000,0.00000,,"Businesses Miscellaneous",Statewide,"Wal-Mart F2	W. Kimberly Rd Store backroom","Wal-Mart F2	","71.9 PL",,FMN,M,Business
151.955000,0.00000,,"Businesses North Park Mall (Davenport)",Statewide,"Old Navy","Old Navy NPM","74.4 PL",,FMN,BM,Business
151.955000,0.00000,,"Businesses Miscellaneous",Statewide,"Old Navy	E 53rd / Utica Ridge Rd","Old Navy 53rd","74.4 PL",,FMN,M,Business
151.955000,0.00000,,"Businesses Miscellaneous",Statewide,"William Blinks	snow plowing","William Blin","186.2 PL",,FMN,BM,Business
151.970000,0.00000,"WPGW823 ","Businesses Telemetry",Statewide,"Electronic Engineering Commercial paging","ElecEng Page",,,Telm,BM,Business
151.985000,0.00000,,"Businesses ADM",Statewide,"Wet Corn Mill",WetCornMill,"189.9 PL",,FMN,RM,Business
151.985000,159.55500,WPTA764,Vinton,Benton,"North Benton EMS","N Benton EMS","100.0 PL",,FMN,RM,"EMS Dispatch"
152.007500,0.00000,KLO235,"Businesses Hospitals in Woodbury County",Statewide,"St. Lukes Medical Center 3",StLukesHosp3,,,FM,B,Hospital
152.007500,0.00000,WNHE369,"Palo Alto County","Palo Alto","EMS Paging",PaAlEMSPage,,,FM,B,Hospital
152.007500,0.00000,KJN742,"Businesses Hospitals",Statewide,"Boone County Hospital - Paging",BooneHospPge,,,FM,B,Hospital
152.007500,0.00000,KKV680,"Decatur County",Decatur,"EMS Page","Decatur EMS Page",,,FMN,B,"EMS Dispatch"
152.007500,0.00000,WQOM476,"Clayton County",Clayton,"Fire and EMS Paging","Clytn Page",,,FM,B,Multi-Dispatch
152.270000,157.53000,WQFL757,"Businesses Sartori",Statewide,"Sartori Hospital Maintenance","Sat Hosp Maint","156.7 PL",,FMN,RM,Business
152.270000,157.53000,WPTI564,"Business Rohrer Brothers INC",Statewide,"Farm Operations","Rohrer Bros ","192.8 PL",,FM,RM,Business
152.270000,157.53000,WQH563,"Businesses MIscellaneous",Statewide,"Griffin Wheel",GriffnWheelA,"CC 1|TG 1|SL 1",,DMR,RM,Business
152.270000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"159.8 PL",,FMN,BM,Business
152.285000,157.54500,WPRJ791,"Businesses Wells Dairy",Statewide,"Wells Dairy 1","WellsDairy 1","371 DPL",,FM,RM,Business
152.285000,157.54500,KDG251,"Businesses MIscellaneous",Statewide,"Climax Molybdenum Company","CMC Ops A","103.5 PL",,FMN,RM,Business
152.285000,157.54500,WPPZ247,"Business Agriculture",Statewide,"Farm and Ranch Operations","Farm Ops",,,FMN,RM,Business
152.300000,157.56000,,"Schools Clinton Community Schools",Statewide,"Security / Maintenance","CCS Maint","159.8 PL",,FMN,RM,Schools
152.300000,157.56000,WQBG560,"Businesses Hospitals",Statewide,"Trinity Regional Medical Center - Buildings and Grounds","TRH Radios","703 DPL",,FMN,RM,Business
152.307500,157.56750,KGC919,"Business Curtis Hansen",Statewide,"Farm Operations","Hansen Farms","210.7 PL",,FMN,RM,Business
152.307500,157.56750,WQRZ943,"Businesses MIscellaneous",Statewide,"EI DuPont de Nemours: Mfg Ops","El DuPont","167.9 PL",,FMN,RM,Business
152.315000,0.00000,WQPX965,"Businesses Misc. Businesses",Statewide,"Brent Miller Farm","Miller Farm","110.9 PL",,FMN,BM,Business
152.315000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"114.8 PL",,FMN,RM,Business
152.315000,157.57500,,"Schools Operations",Statewide,"Dub Senior High","Senior High",,,FM,R,Schools
152.330000,157.59000,WQH563,"Businesses MIscellaneous",Statewide,"Griffin Wheel: Manufacturing Operations",GriffnWheelB,"CC 1|TG *|SL *",,DMR,RM,Business
152.345000,157.60500,,"Schools Operations",Statewide,"Hempstead High School","Hempstead Hi","263 DPL",,FM,R,Schools
152.360000,0.00000,,Maynard,Fayette,"Public Works",Maynard,"315 DPL",,FM,BM,"Public Works"
152.360000,0.00000,,"Winneshiek County",Winneshiek,"Fireground 4",WinnshiekFG,"167.9 PL",,FMN,M,Fire-Tac
152.360000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"241.8 PL",,FMN,BM,Business
152.367500,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"241.8 PL",,FMN,BM,Business
152.375000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"183.5 PL",,FMN,BM,Business
152.375000,157.63500,WQAU730,"Hospitals Mercy One Hospital",Statewide,"Mercy One Ambulance",MercyAmb,"67.0 PL",,FM,RM,"EMS Dispatch"
152.375000,157.63500,WNQN314,"Schools / Colleges Grinnell College",Statewide,"Facilities Management",GrinColMaint,"CC 1|TG *|SL *",,DMR,RM,Business
152.382500,157.64250,WQPJ746,"Business Dan Glandorf",Statewide,"Farm Operations",GlandorfFarm,"CC 1|TG 1|SL 1",,DMR,RM,Business
152.390000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"199.5 PL",,FMN,BM,Business
152.405000,0.00000,"WQOI268 ","Business Woebbeking Enterprises",Statewide,Operations,Woebbeking,"023 DPL",,FMN,M,Business
152.405000,157.66500,WQPK211,"Business Schools",Statewide,"Glenwood Community High School","GCSD High","CC 1|TG *|SL 1",,DMR,RM,Schools
152.420000,0.00000,"WYM657 ","Business Concrete Mix Companies",Statewide,"Rock Rapids Ready-Mix Operations","RR Ready-Mix","734 DPL",,FMN,BM,Business
152.420000,0.00000,"WNCY739 ","School Districts East Buchanan School District",Statewide,"East Buchanan Community School District","EBuch School","100.0 PL",,FMN,BM,Schools
152.420000,157.68000,WQIA351,Durant,Scott,"EMS Dispatch","Durant Amb","074 DPL",,FMN,RM,"EMS Dispatch"
152.420000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"100.0 PL",,FMN,BM,Business
152.420000,0.00000,WNGB608,"Businesses Businesses",Statewide,"James Anderson Trucking",JamesAndersn,"146.2 PL",,FM,BM,Business
152.435000,157.69500,WQAE820,"Southeast Iowa Ambulance",Johnson,Operations,"SEIA Amb",,,NXDN48,RM,"EMS Dispatch"
152.435000,157.69500,WQAE820,"Transportation Southeast Iowa Ambulance",Statewide,Operations/Dispatcher,"SEIA Amb",,,NXDN48,RM,Transportation
152.435000,157.69500,WQIA387,"Business East Fork Bio Fuel",Statewide,Operations,"E. Fork Bio",,,FMN,RM,Business
152.435000,157.69500,"WPQD911 ","Businesses Wells Dairy",Statewide,"Wells Dairy 2","WellsDairy 2","115 DPL",,FM,RM,Business
152.435000,0.00000,WQUZ974,"Schools Newton Community Schools",Statewide,Operations,NewtonSchool,"CC 1|TG 1000|SL 1",,DMR,RM,Schools
152.435000,157.69500,WQBG560,"Businesses Hospitals",Statewide,"Trinity Regional Medical Center - Security and EMS Personnel",TRMCSecurity,,,DMR,RM,Security
152.450000,0.00000,KNAI388,"Business Cabs of marshalltown",Statewide,Operations,"Mtown Cab Co",,,FMN,BM,Transportation
152.450000,0.00000,"WPQC851 ","Businesses Miscellaneous",Statewide,"Western Iowa Cooperative","W Iowa Coop","156.7 PL",,FM,BM,Business
152.450000,157.71000,WPZR572,"School Districts Jesup Community Schools",Statewide,"Jesup School Buses","Jesup School","94.8 PL",,FM,RM,Schools
152.457500,157.71750,WQQM984,"Business Tanger Mall Outlet",Statewide,Operations,"Tanger Mall","CC 1|TG 1|SL *",,DMR,RM,Business
152.465000,0.00000,,"Schools Clinton Community Schools",Statewide,"Transportation Operations",ClintnSchool,"218.1 PL",,FMN,RM,Schools
152.510000,0.00000,,"Lyon County",Lyon,Jail,"LYON JAIL","703 DPL",,FMN,M,Corrections
152.860000,0.00000,,Algona,Kossuth,Police,"Algona PD",,,FM,,"Law Talk"
152.870000,159.88500,WQII845,Mapleton,Monona,Schools,"Mapleton Sch",,,FMN,BM,Schools
152.877500,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"229.1 PL",,FMN,BM,Business
152.885000,159.49500,WQBF434,"Businesses Transco",Statewide,"Transco Repeater",TranscoRptr,"073 DPL",,FMN,RM,Business
152.900000,0.00000,KEV626,"Businesses Hawkeye Ready Mix",Statewide,Operations,HawkeyeReady,"107.2 PL",,FM,BM,Business
152.930000,0.00000,WQCL602,"Businesses Keokuk Area Hospital",Statewide,Security,"KeokHosp Sec","94.8 PL",,FMN,BM,Security
152.930000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"94.8 PL",,FMN,RM,Business
152.960000,0.00000,,"Schools Operations",Statewide,"Senior High",School,,,FM,,Schools
152.975000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"123.0 PL",,FMN,RM,Business
152.975000,158.34000,"WQYU881 ","Schools / Colleges Grinnell College",Statewide,Security,Security,"269 NAC",,P25,RM,Security
152.975000,0.00000,WNKX774,"Business Agriculture",Statewide,"Farming Operations","Farm Ops",,,FMN,BM,Business
152.990000,0.00000,"KAL565 ","Businesses Businesses",Statewide,"Bentons Ready Mix Concrete","Bentons ReadyMix","162.2 PL",,FMN,BM,Business
153.005000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"103.5 PL",,FMN,RM,Business
153.020000,0.00000,WQLV737,"Business Other",Statewide,"Iowa City Ready-Mix","IC Ready-Mix","192.8 PL",,FMN,BM,Business
153.035000,0.00000,WRQ691,"Businesses Farming",Statewide,"William Scharnhorst",Scharnhorst,"100.0 PL",,FMN,BM,Business
153.035000,0.00000,WNVE572,"Business Jim Stevenson Farms",Statewide,Operations,"Stevenson Farms","025 DPL",,FMN,BM,Business
153.050000,0.00000,,"Businesses Retail",Statewide,"White Front Feed","White Feed",,,FM,BM,Business
153.110000,0.00000,WPZN845,"Businesses MIscellaneous",Statewide,"Climax Molybdenum Company: Operations","CMC Ops B","100.0 PL",,FMN,BM,Business
153.110000,0.00000,,"Businesses Arconic - Davenport Works",Statewide,"Rail Control","Arconic RailCtrl","127.3 PL",,FMN,BM,Business
153.125000,0.00000,WNFW302,"Business Coots Material Company",Statewide,Operations,CootsMatComp,,,FM,BM,Business
153.140000,0.00000,WNHA839,"Electric Cooperatives(Power Companies) L and O Power Cooperative",Statewide,"Load Management System","LO PowerCoop",,,Telm,F,Data
153.140000,158.43000,WQKI338,"Businesses Unverferth Manufacturing",Statewide,"Plant Operations",Unverferth,"107.2 PL","107.2 PL",FMN,RM,Business
153.170000,0.00000,KRS474,"Business Whirlpool Corporation",Statewide,"Facility Paging",Whirlpool,CSQ,,FMN,B,Business
153.215000,158.29500,WPMX435,"Businesses Wells Dairy",Statewide,"Wells Dairy 3","WellsDairy 3","115 DPL",,FM,RM,Business
153.230000,158.37000,WPPU893,"Des Moines International Airport (DSM) Misc",Statewide,"Signature Flight Support Corporation",SFSC,"131.8 PL",,FM,M,Business
153.320000,0.00000,,"Schools School Buses",Statewide,"Dubuque School Buses","Dub Sch Bus","179.9 PL",,FM,BM,Transportation
153.380000,160.00500,KNAS223,"Businesses Miscellaneous",Statewide,"Great River Regional Waste Authority","GRRWA Ops","532 DPL",,FMN,RM,Business
153.440000,0.00000,WPQJ902,"Business Union Tank Car",Statewide,"Union Tank Car",UnionTankCar,"67.0 PL",,FMN,RM,Business
153.455000,0.00000,WQCN849,Milford,Dickinson,"Law Ops - Simulcast of 154.695 Spirit Lake Law Ops","Milford Law Ops",,,P25e,BM,"Law Tac"
153.470000,0.00000,WZX299,Osage,Mitchell,"Public Works","Osage PW 1",,,FM,BM,"Public Works"
153.500000,0.00000,WPNS759,"Businesses Larry Heishman",Statewide,"Farm Operations",HeishmanFarm,"114.8 PL",,FM,BM,Business
153.530000,0.00000,KAL522,Burlington,"Des Moines","Municipal Waterworks","Burl Waterworks","103.5 PL",,FMN,BM,"Public Works"
153.575000,0.00000,WNFC376,"Mount Pleasant",Henry,"Public Works",MtPleasantPW,,,FMN,BM,"Public Works"
153.575000,158.26500,WQVT940,"School Districts West Central School District",Statewide,"West Central School Buses",WestCenSchoo,"245 DPL",,FMN,RM,Schools
153.575000,0.00000,WQMM377,"Businesses Miscellaneous",Statewide,"TM Logistics (at Davenport Airport)","TM Logistics A","179.9 PL",,FMN,RM,Business
153.590000,0.00000,WNWV454,Independence,Buchanan,"Light and Power","Indy Light","127.3 PL",,FMN,BM,"Public Works"
153.620000,159.81000,KGM661,"Fort Madison",Lee,"Water Department","FtMad Utility","127.3 PL",,FMN,RM,"Public Works"
153.620000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"67.0 PL",,FMN,RM,Business
153.635000,158.23500,WQRT672,"State Center",Marshall,"Public Works","St Center PW","114.8 PL",,FMN,RM,"Public Works"
153.635000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"141.3 PL",,FMN,RM,Business
153.665000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"77.0 PL",,FMN,RM,Business
153.680000,0.00000,,"Businesses ADM",Statewide,Unknown,Unknown,"85.4 PL",,FMN,RM,Business
153.710000,0.00000,KRX694,Corning,Adams,"Public Works","Corning PW",,,FM,BM,"Public Works"
153.725000,158.16000,WQBZ226,Waverly,Bremer,"Light and Power",WaverlyLight,"127.3 PL",,FMN,RM,"Public Works"
153.740000,0.00000,,"Tama County",Tama,"Search and Rescue","Tama Srch/Rescue","173.8 PL",,FMN,RM,"Emergency Ops"
153.740000,0.00000,WNUF772,"Sioux City",Woodbury,"Public Works","SiouxCity PW","94.8 PL",,FM,BM,"Public Works"
153.740000,0.00000,WPGH573,"Davis County",Davis,"Road Department","Davis Roads",,,FMN,M,"Public Works"
153.740000,0.00000,WNWB609,Fairbank,Buchanan,"Public Works",FairbankCity,"127.3 PL",,FMN,M,"Public Works"
153.740000,0.00000,KAA879,"Dallas County",Dallas,"Public Safety 3 - Fire and EMS Talkaround channel","Dal PS 3","125 DPL",,FMN,M,Fire-Tac
153.740000,0.00000,WQJA850,"Winneshiek County",Winneshiek,"Fireground 1",WinneshiekFG,"151.4 PL",,FMN,M,Fire-Tac
153.755000,0.00000,WQBC793,"Webster County",Webster,"Emergency Management","Webster EMA","445 DPL",,FMN,M,"Emergency Ops"
153.755000,0.00000,WPQG811,"Fayette County",Fayette,"Fire TAC #1 -old",FayFireTAC1-old,"311 DPL",,FMN,M,Fire-Tac
153.755000,0.00000,,Ottumwa,Wapello,HAZMAT,OttmwHazMat1,,,FM,BM,Fire-Tac
153.755000,158.85000,WQOI426,"Business Marengo Hospital",Statewide,"Admin / Maintenance Repeater","Marengo Hosp","127.3 PL",,FMN,RM,Business
153.785000,0.00000,KNJZ545,Denison,Crawford,"Public Works","Denison PW M",,,FMN,M,"Public Works"
153.785000,0.00000,WPZT773,"Dallas County",Dallas,"Public Safety 1 - Fire and EMS Talkaround channel","Dal PS 1","125 DPL",,FMN,M,Fire-Tac
153.800000,155.85500,KAA987,"Greene County",Greene,"Sheriff Dispatch","GreenCo Sh","343 DPL",,FMN,RM,"Law Dispatch"
153.800000,0.00000,,Hazleton,Buchanan,"City Services",HazletonCity,,,FMN,BM,"Public Works"
153.815000,0.00000,KAD505,"Hancock County",Hancock,"Sheriff Dispatch - Britt Tower","Hanc Sheriff","146.2 PL",,FMN,RM,"Law Dispatch"
153.815000,0.00000,WQIP243,"Tama County",Tama,"Fire TAC 1","Tama Fire Tac 1","146.2 PL",,FMN,M,Fire-Tac
153.815000,0.00000,WQGQ489,"Greene County",Greene,Fireground,"Green Co FG","192.8 PL",,FMN,M,Fire-Tac
153.830000,0.00000,WPYG970,"Warren County",Warren,Fireground,WarrenFGnd,,,FM,M,Fire-Tac
153.830000,0.00000,WQCD452,"Washington County",Washington,"Fireground 1",WashFGnd1,,,FMN,M,Fire-Tac
153.830000,0.00000,KRP933,"Mount Pleasant",Henry,Fireground,"MPFD Tac",,,FMN,M,Fire-Tac
153.860000,0.00000,WPZS822,Lansing,Allamakee,Police,"Lansing Police 2",,,FMN,M,"Law Tac"
153.860000,0.00000,WQIP243,"Tama County",Tama,"Fire TAC 2","Tama Fire Tac 2","146.2 PL",,FMN,M,Fire-Tac
153.860000,0.00000,KNIN982,Walcott,Scott,"Public Works","Walcott PW",,,FMN,BM,"Public Works"
153.860000,0.00000,"WQHL828 ",Fairbank,Buchanan,"City services",FairbankCity,"127.3 PL",,FMN,BM,"Public Works"
153.882500,0.00000,WQJG337,"Poweshiek County",Poweshiek,"Jail Operations","Poweshiek Jail","151.4 PL",,FMN,M,Corrections
153.890000,0.00000,WPKH622,Vinton,Benton,Fire,"Vinton Fire Tac",CSQ,,FM,BM,Fire-Tac
153.890000,0.00000,WPYG970,"Warren County",Warren,Fireground,WarrenFGnd,,,FM,M,Fire-Tac
153.905000,0.00000,WPAN853,Rolfe,Pocahontas,"Public Works","ROLFE PUBLIC WRK",,,FMN,BM,"Public Works"
153.920000,0.00000,WPGM322,"De Witt",Clinton,"Police / Public Works","Dew PD/PbWrk",,,FMN,BM,Multi-Tac
153.920000,0.00000,KB33446,"Mahaska County",Mahaska,"Conservation Board",MahaskConser,,,FM,M,"Public Works"
153.920000,0.00000,WPGU705,Muscatine,Muscatine,"Water Pollution Control Plant","Musc WatrPol",,,Telm,M,Data
153.935000,154.02500,KNAB459,"Le Mars",Plymouth,Police,"LeMars PD","075 NAC",,P25,RM,"Law Dispatch"
153.935000,0.00000,KVX762,Altoona,Polk,"Public Works","Altoona PW","174 DPL",,FMN,BM,"Public Works"
153.950000,0.00000,KNFB466,"Chickasaw County",Chickasaw,Fireground,"Chickasaw FG",,,FMN,M,Fire-Tac
153.950000,150.77500,WPPG752,Carroll,Carroll,"Police Dispatch","CarolPD Disp","141.3 PL",,FM,RM,"Law Dispatch"
153.950000,0.00000,WQCD452,"Washington County",Washington,"Fireground 2",WashFGnd2,,,FMN,M,Fire-Tac
153.950000,0.00000,WNUS252,Knoxville,Marion,Fireground," KnoxvilleFG",,,FM,M,Fire-Tac
153.965000,0.00000,WPQG811,"Fayette County",Fayette,"Fire TAC #2 -old",FayFireTAC2-old,"311 DPL",,FMN,M,Fire-Tac
153.965000,0.00000,WQKM507,"Butler County",Butler,"Fire TAC 1","Butler FTAC1",,,FMN,M,Fire-Tac
153.965000,0.00000,,"Mills County",Mills,"Fireground 1","Mills FG 1",,,FMN,M,Fire-Tac
153.980000,0.00000,WQL906,Denmark,Lee,"Fire Dispatch","Denamrk Fire","203.5 PL",,FMN,BM,"Fire Dispatch"
153.980000,159.28500,WPXU246,"Decatur County",Decatur,"Sheriff Dispatch","Decatur Sheriff","CC 1|TG 201|SL 1",,DMR,RM,"Law Dispatch"
153.980000,0.00000,KTE529,"Southeast Iowa Regional Airport (BRL) Airport Operations",Statewide,"Public Works","BRL PW","141.3 PL",,FMN,BM,"Public Works"
153.980000,159.28500,WPXU246,"Decatur County",Decatur,"Sheriff Dispatch","Decatur Sheriff","CC 1|TG 200|SL 1",,DMR,RM,"Law Dispatch"
153.980000,0.00000,WPML452,"Spirit Lake",Dickinson,"Public Works",SpiritLakePW,,,FM,BM,"Public Works"
153.980000,0.00000,WNDP665,Tripoli,Bremer,"Tripoli EMS","Tripoli EMS","103.5 PL",,FMN,BM,EMS-Talk
153.987500,158.80500,WQMR665,"Clinton County",Clinton,"Court House Security","Clinton CH Sec","82.5 PL",,FMN,RM,"Law Talk"
153.995000,0.00000,WPEE990,"Jones County",Jones,"Fire Tactical 1 P25","53 FIRE TAC 1","293 NAC",,P25,BM,Fire-Tac
153.995000,0.00000,WPEE990,"Jones County",Jones,"Fire Tactical 1","53 FIRE TAC 1",,,FMN,RM,Fire-Tac
153.995000,158.86500,KNJA306,Indianola,Warren,"Electrical Department",IndianolaSer,,,FM,RM,"Public Works"
153.995000,0.00000,,Lamont,Buchanan,"Public Works","Lamont City",CSQ,,FMN,BM,"Public Works"
153.995000,0.00000,WQOI426,"Business Marengo Hospital",Statewide,"Admin / Maintenance","Marengo Hosp","103.5 PL",,FMN,M,Business
154.010000,0.00000,WQCD452,"Washington County",Washington,"Fireground 3",WashFGnd3,,,FMN,M,Fire-Tac
154.025000,0.00000,KVX839,Decorah,Winneshiek,"Public Works / Police Ch. 6","Decorah City",,,FM,BM,Multi-Tac
154.025000,0.00000,KTI703,Buffalo,Scott,"Public Works - Maybe Fire","BCity PubWrk",,,FMN,BM,Multi-Tac
154.025000,158.94000,KNAO443,"Clayton County",Clayton,"Road Department - Chicken Ridge tower","Clayton Road","CC 1|TG 6000|SL 1",,DMR,RM,"Public Works"
154.025000,158.89500,KDG345,"Fort Madison",Lee,"Public Works","FtMad PubWk","91.5 PL",,FMN,RM,"Public Works"
154.025000,158.89500,KDG345,"Fort Madison",Lee,"Constant Data","FtMad PW DMR","CC 7|TG *|SL 2",,DMR,RM,Data
154.032500,0.00000,WPHA688,"Wapello County",Wapello,"Agency / Blakesburg Fire Dispatch",Agency/Blksbrg,,,FMN,RM,"Fire Dispatch"
154.040000,0.00000,WPRW633,Osage,Mitchell,"Public Works","Osage PW 2",,,FM,BM,"Public Works"
154.040000,0.00000,WPGI939,"Mount Pleasant",Henry,"Public Works",MtPleasantPW,,,FMN,BM,"Public Works"
154.040000,0.00000,WPEI602,Centerville,Appanoose,"Public Works","Cville PW",,,FM,BM,"Public Works"
154.040000,0.00000,WNLZ712,Aurelia,Cherokee,"Public Works","Aurelia PW",,,FM,BM,"Public Works"
154.040000,158.94000,KFT547,"Rock Rapids",Lyon,"Public Works",RockRapidsPW,"127.3 PL",,FMN,RM,"Public Works"
154.055000,158.92500,KFR565,"Woodbury County",Woodbury,"Roads 1","Wdbry Road 1","250.3 PL",,FM,RM,"Public Works"
154.055000,0.00000,KAW641,"Dickinson County",Dickinson,"DC 1 - Law/Fire/EMS Event","DC 1",,,FMN,BM,Multi-Tac
154.055000,0.00000,,"Clarke County",Clarke,Services,"Clarke Co PW",,,FM,,"Public Works"
154.055000,158.92500,KJJ379,"Fayette County",Fayette,"Sheriff Dispatch - old","Fay Sheriff-old","94.8 PL",,FMN,RM,"Law Dispatch"
154.055000,158.95500,KNBJ265,"Transportation Paratransit",Statewide,Paratransit,JhnsnParaTra,"110.9 PL",,FM,RM,Transportation
154.055000,151.03250,WQPD499,"Fort Madison Community School District",Lee,"Admin / Operations","FtMad Sch 2","186.2 PL",,FMN,RM,Schools
154.070000,0.00000,KTE529,Burlington,"Des Moines","Fire: Tactical 3","Burl Fire Tac 3 ","141.3 PL",,FMN,M,Fire-Tac
154.070000,0.00000,KQR545,"Bremer County",Bremer,"Search and Rescue","Bremer SandR","167.9 PL",,FMN,M,"Emergency Ops"
154.070000,0.00000,,Harlan,Shelby,Fireground,"Harlan FG",,,FM,,Fire-Tac
154.070000,0.00000,KUQ795,"Scott County",Scott,Fireground,"Scott FG 1",,,FMN,BM,Fire-Tac
154.070000,0.00000,WPKY439,Sheldon,O'Brien,Fireground,"Sheldon FG",,,FM,BM,Fire-Tac
154.085000,0.00000,,Grinnell,Poweshiek,"Police Car-to-Car","Grin PD Car",CSQ,,FMN,RM,"Law Talk"
154.085000,0.00000,WNHE350,"Strawberry Point",Clayton,"EMS/Fire Paging - Police Operations","SPoint EMS","192.8 PL",,FM,BM,Multi-Dispatch
154.085000,159.13500,KLI344,Muscatine,Muscatine,"Public Works","Musc PubWrks","123.0 PL",,FMN,RM,"Public Works"
154.085000,158.94000,KUW657,"Grundy County",Grundy,"Fire Tactical","GrunCoFD Tac","167.9 PL",,FMN,RM,Fire-Tac
154.085000,159.30000,KRF432,Norwalk,Warren,Police,"Norwalk PD",,,FM,RM,"Law Tac"
154.085000,0.00000,WPML490,Keokuk,Lee,"Police: Dispatch (Simulcast of 155.13)","Keok PD*S","127.3 PL",,FMN,RM,"Law Dispatch"
154.100000,0.00000,WPGI325,Toledo,Tama,"Police Car-to-Car","TOL PD CAR","146.2 PL",,FM,BM,"Law Talk"
154.100000,0.00000,KUL714,Corydon,Wayne,"Public Works/Fire",CorydonPW/FD,,,FMN,BM,Multi-Tac
154.100000,0.00000,WNPU807,"Red Oak",Montgomery,Fireground,"Red Oak FG",,,FM,BM,Fire-Tac
154.100000,0.00000,WNAP512,"Iowa State University",Story,Maintenance,"ISU Maint",,,FM,BM,Schools
154.100000,0.00000,KZB451,Fayette,Fayette,"Public Works","Fayette City",,,FM,BM,"Public Works"
154.100000,0.00000,KNHW925,Wayland,Henry,"Public Works/Fireground",WaylandPW/FG,,,FMN,BM,Multi-Tac
154.107500,0.00000,WPHA688,"Wapello County",Wapello,"Rural Fire Dispatch","Wapello Co Fire",,,FMN,RM,"Fire Dispatch"
154.115000,0.00000,"KRZ297 ","West Burlington","Des Moines","Fire: Tactical 1","WestBurl FireTac","141.3 PL",,FMN,M,Fire-Tac
154.115000,0.00000,WRL675,"Van Buren County","Van Buren","Fire Dispatch - Harrisburg Tower","VBC Fire Har",,,FMN,BM,"Fire Dispatch"
154.115000,0.00000,WYK457,"Black Hawk County","Black Hawk","Storm siren control",StormSirenContrl,"754 DPL",,FMN,B,Data
154.115000,0.00000,,"Businesses Businesses",Statewide,"Medivac Ambulance Corp - Dispatch","Medivac EMS",,,FM,,"EMS Dispatch"
154.115000,0.00000,WQFP295,"Cass County",Cass,"EMS Paging","Cass EMS",CSQ,,FMN,BM,"EMS Dispatch"
154.115000,0.00000,WPGN321,"Calhoun County",Calhoun,Data,CalhounData,"023 DPL",,FM,BM,Data
154.115000,158.88000,WNJX665,"Winneshiek County",Winneshiek,"Sheriff Dispatch","Winneshiek Law","096 NAC ",,P25,RM,"Law Dispatch"
154.122500,159.39000,KAE697,"Jones County",Jones,"Sheriff Dispatch - Martelle Tower","53 LAW MARTELLE","530 NAC",,P25,RM,"Law Dispatch"
154.130000,0.00000,WNGI739,Hartwick,Poweshiek,Fireground,"Hartwick FG",CSQ,,FMN,BM,Fire-Tac
154.130000,158.77500,WQUX355,"Jones County",Jones,"Fire Dispatch - Martelle Tower","53 FIRE MARTELLE",,,FMN,RM,"Fire Dispatch"
