"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
145.130000,144.53000,WA0NQA,Repeaters,"Kansas City 145.130MHz Repeater","WA0NQA 145.130","151.4 PL",,FM,RM,Ham
147.150000,147.75000,,Repeaters,"Jayhawk Amateur Radio Society","JARS 147.15",,,FM,RM,Ham
147.210000,147.81000,W0KCK,Repeaters,"Wyandotte County RACES",W0KCK,"151.4 PL","151.4 PL",FM,RM,Ham
153.770000,0.00000,KBZ937,"Bonner Springs","Fire and EMS Dispatch","BonnerSprings FD","131.8 PL",,FMN,RM,"Fire Dispatch"
154.175000,0.00000,KBZ937,"Bonner Springs","Fire and EMS TAC",BonnerSprgsFDTac,,,FMN,BM,Fire-Tac
155.055000,153.87500,KYQ438,"Bonner Springs","Public Works","BonnerSprings PW",,,FMN,RM,"Public Works"
155.295000,0.00000,WPQZ501,"Kansas City","Public School Buses","KCK School Buses",,,FMN,BM,Schools
155.895000,153.96500,WRNV788,"Wyandotte County","County Weather Warning System","WyCo WeatherWarn",,,FMN,RM,"Emergency Ops"
451.275000,456.27500,,"Kansas Speedway Kansas Speedway","NASCAR 6 (Ch 6)","NASCAR Ch 6 ","606 DPL",,FMN,RM,Business
451.412500,0.00000," ","Hollywood Casino at Kansas Speedway","Site 001 Casino",,,,NXDN,,TRS
451.425000,456.42500,,"Kansas Speedway Kansas Speedway","NASCAR 7 (Ch 7)","NASCAR Ch 7","071 DPL",,FMN,RM,Business
451.450000,456.45000,,"Kansas Speedway Kansas Speedway","NASCAR 8 (Ch 8)","NASCAR Ch 8","445 DPL",,FMN,RM,Business
451.500000,456.50000,WPRI596,"Kansas Speedway Kansas Speedway","Security Dispatch",RaceSecurity,"662 DPL",,FMN,RM,Business
451.687500,456.68750,,"Kansas Speedway Kansas Speedway","IRL (Ch 9)","Race IRL","107.2 PL",,FMN,RM,Business
