Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1,001,"AMR","D","AMR Medical - Emergency Management","Emergency Ops","Jackson County MO - Independence Emergency Management"
2,002,"Ind ACO-1","D","Animal Control (DB: IPD)","Public Works","Jackson County MO - Independence City Services/Public Works"
3,003,"IPD Center","DE","Center - In Progress Call","Law Dispatch","Jackson County MO - Independence Police"
4,004,"Ind EM C/W 1","D","City Wide 1 - Emergency Management","Emergency Ops","Jackson County MO - Independence Emergency Management"
5,005,"Ind EM C/W 2","D","City Wide 2 - Emergency Management","Emergency Ops","Jackson County MO - Independence Emergency Management"
6,006,"Ind EM C/W 3","D","City Wide 3 - Emergency Management","Emergency Ops","Jackson County MO - Independence Emergency Management"
7,007,"Ind EM C/W 4","D","City Wide 4 - Emergency Management","Emergency Ops","Jackson County MO - Independence Emergency Management"
8,008,"I P & L 2 Ops","D","Operations","Utilities","Jackson County MO - Independence Power and Light Talkgroups"
9,009,"LCAP Fire","D","Fire: Operations","Fire-Tac","Jackson County MO - Lake City Ammunition Plant"
11,00b,"CJC FD Simulcast","D","Central Jackson Co Fire: Simulcast of TG 118 & 119","Fire Dispatch","Jackson County MO - Central County Fire / EMS"
18,012,"I P & L Disp","D","Dispatch - Simulcast of 451.050 MHz","Utilities","Jackson County MO - Independence Power and Light Talkgroups"
19,013,"Indepnd FD FG A2","DE","Fireground Ops 1 [A2]","Fire-Tac","Jackson County MO - Independence Fire"
20,014,"Indepnd FD FG A3","DE","Fireground Ops 2 [A3]","Fire-Tac","Jackson County MO - Independence Fire"
21,015,"Independence FD","DE","Fire Dispatch","Fire Dispatch","Jackson County MO - Independence Fire"
22,016,"Indepn SpecEvent","DE","Special Events (IFD, IPD, AMR)","Multi-Dispatch","Jackson County MO - Independence Fire"
23,017,"Ind ACO-2","D","Animal Control - Unit-to-Unit (not monitored by IPD)","Public Works","Jackson County MO - Independence City Services/Public Works"
24,018,"I P & L 3","D","Street Light Maintenance","Utilities","Jackson County MO - Independence Power and Light Talkgroups"
35,023,"I P & L 4","D","Traffic Signal Repair","Utilities","Jackson County MO - Independence Power and Light Talkgroups"
36,024,"IPD North","DE","North - Back In Use","Law Dispatch","Jackson County MO - Independence Police"
39,027,"IPD Tac-1","DE","Dispatch - Tactical 1 [IPD TAC 1]","Law Tac","Jackson County MO - Independence Police"
40,028,"IPD Tac-2","DE","Dispatch - Tactical 2","Law Tac","Jackson County MO - Independence Police"
41,029,"IPD Tac 3","DE","Tactical 3","Law Tac","Jackson County MO - Independence Police"
49,031,"Ind SnowPlow","D","Snow Plow Operations","Public Works","Jackson County MO - Independence City Services/Public Works"
53,035,"Ind Water","D","Water Department","Utilities","Jackson County MO - Independence City Services/Public Works"
54,036,"IPD South","DE","South Back In Use","Law Dispatch","Jackson County MO - Independence Police"
57,039,"IPD Test 57","D","Ops Testing","Law Tac","Jackson County MO - Independence Police"
64,040,"IPD Test 64","D","Ops Testing","Law Tac","Jackson County MO - Independence Police"
68,044,"Ind Water 68","D","Water Department","Utilities","Jackson County MO - Independence City Services/Public Works"
70,046,"Ind WaterP/C","D","Water Pollution Control","Utilities","Jackson County MO - Independence City Services/Public Works"
71,047,"Independc FD Adm","DE","Fire Administration","Fire-Talk","Jackson County MO - Independence Fire"
103,067,"Indepnd FD FG A5","DE","Fireground Ops 3 [A5]","Fire-Tac","Jackson County MO - Independence Fire"
113,071,"LCAP Security","DE","Security","Security","Jackson County MO - Lake City Ammunition Plant"
114,072,"LCAP FireEMS","D","Fire/EMS: Dispatch","Fire Dispatch","Jackson County MO - Lake City Ammunition Plant"
116,074,"Ind Code Enf","D","Code Enforcement","Public Works","Jackson County MO - Independence City Services/Public Works"
118,076,"CJC Fire 1","DE","Fire Dispatch","Fire Dispatch","Jackson County MO - Central County Fire / EMS"
119,077,"CJC Fire 2","DE","Fire Tac","Fire-Tac","Jackson County MO - Central County Fire / EMS"
120,078,"CJC FG 1","DE","Fireground 1","Fire-Tac","Jackson County MO - Central County Fire / EMS"
121,079,"CJC FG 2","DE","Fireground 2","Fire-Tac","Jackson County MO - Central County Fire / EMS"
122,07a,"Spec Ops 3*P","D","Simulcast Patch of Spc Ops 3 - KCPD","Law Tac","Jackson County MO - Independence Police"
124,07c,"IPD Inv/SpOp","DE","Investigations/Special Ops","Law Tac","Jackson County MO - Independence Police"
